ID,Date,Element,Data_Value
SPE00120512,2014-08-22,TMAX,334
SPE00120512,2011-07-30,TMIN,212
SPE00120512,2012-09-30,TMIN,155
SPE00120512,2011-06-14,TMAX,351
SPE00120512,2014-12-19,TMIN,53
SPE00120512,2013-12-25,TMAX,155
SPE00120512,2006-05-13,TMAX,322
SPE00120512,2014-11-04,TMIN,101
SPE00120512,2013-12-25,TMIN,99
SPE00120512,2006-11-29,TMAX,195
SPE00120512,2008-11-06,TMAX,205
SPE00120512,2015-01-06,TMIN,39
SPE00120512,2014-05-01,TMAX,324
SPE00120512,2007-09-01,TMAX,352
SPE00120512,2012-08-02,TMIN,195
SPE00120512,2009-09-03,TMIN,171
SPE00120512,2006-11-13,TMIN,108
SPE00120512,2005-12-02,TMAX,194
SPE00120512,2011-02-26,TMAX,250
SPE00120512,2012-04-25,TMAX,220
SPE00120512,2006-11-29,TMIN,105
SPE00120512,2005-05-07,TMIN,165
SPE00120512,2008-12-15,TMIN,43
SPE00120512,2009-04-06,TMAX,271
SPE00120512,2010-10-13,TMIN,148
SPE00120512,2010-12-25,TMIN,80
SPE00120512,2014-02-19,TMIN,46
SPE00120512,2009-05-10,TMAX,252
SPE00120512,2006-11-13,TMAX,235
SPE00120512,2006-06-25,TMAX,320
SPE00120512,2007-10-12,TMIN,145
SPE00120512,2011-07-30,TMAX,345
SPE00120512,2007-09-01,TMIN,210
SPE00120512,2006-01-30,TMAX,138
SPE00120512,2010-12-25,TMAX,97
SPE00120512,2014-06-01,TMIN,157
SPE00120512,2005-08-06,TMAX,416
SPE00120512,2011-06-20,TMAX,367
SPE00120512,2012-08-02,TMAX,401
SPE00120512,2005-01-29,TMAX,155
SPE00120512,2006-10-13,TMAX,290
SPE00120512,2013-04-21,TMAX,263
SPE00120512,2013-02-12,TMAX,156
SPE00120512,2013-04-21,TMIN,132
SPE00120512,2007-07-03,TMIN,201
SPE00120512,2008-02-29,TMAX,220
SPE00120512,2006-01-30,TMIN,45
SPE00120512,2014-07-14,TMIN,191
SPE00120512,2015-04-02,TMIN,126
SPE00120512,2008-10-03,TMIN,151
SPE00120512,2010-04-20,TMIN,156
SPE00120512,2005-01-16,TMAX,190
SPE00120512,2011-06-29,TMAX,405
SPE00120512,2014-02-19,TMAX,181
SPE00120512,2005-01-29,TMIN,-26
SPE00120512,2005-10-21,TMIN,145
SPE00120512,2015-07-12,TMAX,390
SPE00120512,2014-11-25,TMIN,141
SPE00120512,2015-07-24,TMAX,379
SPE00120512,2015-07-12,TMIN,201
SPE00120512,2011-04-18,TMIN,145
SPE00120512,2005-07-04,TMIN,224
SPE00120512,2015-07-24,TMIN,206
SPE00120512,2012-03-08,TMIN,26
SPE00120512,2007-07-03,TMAX,375
SPE00120512,2009-04-29,TMAX,250
SPE00120512,2007-10-19,TMAX,279
SPE00120512,2010-09-25,TMAX,312
SPE00120512,2012-06-20,TMIN,151
SPE00120512,2012-03-08,TMAX,239
SPE00120512,2005-09-25,TMIN,154
SPE00120512,2012-09-30,TMAX,263
SPE00120512,2007-09-12,TMIN,200
SPE00120512,2012-12-29,TMIN,17
SPE00120512,2007-10-12,TMAX,262
SPE00120512,2012-07-24,TMAX,334
SPE00120512,2011-03-03,TMIN,50
SPE00120512,2014-12-07,TMIN,41
SPE00120512,2010-08-15,TMAX,356
SPE00120512,2010-12-10,TMIN,160
SPE00120512,2015-11-27,TMIN,63
SPE00120512,2005-07-20,TMAX,414
SPE00120512,2013-04-22,TMAX,259
SPE00120512,2008-08-03,TMAX,400
SPE00120512,2011-12-30,TMIN,27
SPE00120512,2012-07-31,TMAX,392
SPE00120512,2012-04-25,TMIN,91
SPE00120512,2014-11-25,TMAX,200
SPE00120512,2009-07-28,TMIN,228
SPE00120512,2006-06-25,TMIN,180
SPE00120512,2011-12-30,TMAX,161
SPE00120512,2006-06-20,TMIN,214
SPE00120512,2009-10-28,TMIN,166
SPE00120512,2007-01-15,TMIN,80
SPE00120512,2009-06-11,TMIN,220
SPE00120512,2012-07-31,TMIN,195
SPE00120512,2008-01-16,TMIN,104
SPE00120512,2012-06-07,TMIN,195
SPE00120512,2005-12-12,TMAX,154
SPE00120512,2006-11-16,TMAX,195
SPE00120512,2006-12-16,TMIN,62
SPE00120512,2011-01-12,TMIN,90
SPE00120512,2007-05-30,TMAX,325
SPE00120512,2015-05-23,TMAX,310
SPE00120512,2007-07-21,TMIN,183
SPE00120512,2008-08-26,TMAX,376
SPE00120512,2010-12-10,TMAX,224
SPE00120512,2006-01-12,TMIN,67
SPE00120512,2006-12-11,TMIN,64
SPE00120512,2007-06-01,TMAX,300
SPE00120512,2011-01-20,TMIN,70
SPE00120512,2006-01-12,TMAX,166
SPE00120512,2006-12-16,TMAX,170
SPE00120512,2005-05-07,TMAX,301
SPE00120512,2014-01-16,TMAX,156
SPE00120512,2007-05-31,TMIN,144
SPE00120512,2007-07-06,TMIN,237
SPE00120512,2007-01-15,TMAX,170
SPE00120512,2011-01-04,TMIN,74
SPE00120512,2011-04-18,TMAX,245
SPE00120512,2011-06-20,TMIN,204
SPE00120512,2014-02-23,TMIN,63
SPE00120512,2008-01-16,TMAX,201
SPE00120512,2009-02-25,TMAX,207
SPE00120512,2007-11-18,TMIN,94
SPE00120512,2005-11-06,TMAX,215
SPE00120512,2012-02-10,TMIN,-13
SPE00120512,2013-06-05,TMIN,179
SPE00120512,2005-05-19,TMIN,154
SPE00120512,2007-05-12,TMAX,312
SPE00120512,2009-05-10,TMIN,160
SPE00120512,2005-07-20,TMIN,222
SPE00120512,2006-05-13,TMIN,171
SPE00120512,2012-11-09,TMAX,196
SPE00120512,2007-10-19,TMIN,172
SPE00120512,2007-09-12,TMAX,245
SPE00120512,2014-01-16,TMIN,86
SPE00120512,2008-07-08,TMAX,367
SPE00120512,2008-07-08,TMIN,176
SPE00120512,2011-01-04,TMAX,148
SPE00120512,2007-10-28,TMIN,135
SPE00120512,2012-03-04,TMIN,59
SPE00120512,2015-04-02,TMAX,289
SPE00120512,2006-10-05,TMIN,148
SPE00120512,2008-03-15,TMIN,140
SPE00120512,2015-08-11,TMIN,224
SPE00120512,2012-02-12,TMIN,-20
SPE00120512,2012-02-10,TMAX,165
SPE00120512,2009-01-23,TMAX,192
SPE00120512,2005-08-13,TMIN,214
SPE00120512,2014-01-06,TMAX,179
SPE00120512,2014-01-07,TMAX,168
SPE00120512,2005-07-04,TMAX,360
SPE00120512,2015-12-20,TMAX,202
SPE00120512,2009-08-15,TMIN,231
SPE00120512,2005-09-25,TMAX,306
SPE00120512,2012-12-29,TMAX,156
SPE00120512,2014-08-27,TMAX,406
SPE00120512,2005-12-01,TMIN,32
SPE00120512,2011-01-20,TMAX,166
SPE00120512,2014-06-22,TMAX,282
SPE00120512,2011-03-24,TMAX,255
SPE00120512,2013-06-04,TMAX,335
SPE00120512,2008-11-26,TMAX,128
